"","state","district","office","candidate_republican","candidate_democrat","total_votes_republican","total_votes_democrat","gender_rep","gender_dem"
"2368","Michigan","District 29","State Representative","Timothy D. Carrier","Brenda Carter",6974,19964,"male","female"
"2369","Michigan","District 29","State Senator","Chris Afendoulis","Winnie Brinks",50225,70715,"male","female"
"2370","Michigan","District 3","State Representative","Dolores Brodersen","Wendell L. Byrd",751,22179,"female","male"
"2371","Michigan","District 3","State Senator","Kathy Stecker","Sylvia Santana",10928,58405,"female","female"
"2372","Michigan","District 30","State Representative","Diana Farrington","John P. Spica",17511,13284,"female","male"
"2373","Michigan","District 30","State Senator","Roger Victory","Jeanette Schipper",79323,42904,"male","female"
"2374","Michigan","District 31","State Representative","Lisa Valerio-Nowc","William J. Sowerby",13925,20791,"female","male"
"2375","Michigan","District 31","State Senator","Kevin Daley","Cynthia A. Luczak",63394,41833,"male","female"
"2376","Michigan","District 32","State Representative","Pamela Hornberger","Paul Manley",22092,13840,"female","male"
"2377","Michigan","District 32","State Senator","Ken Horn","Phil Phelps",62375,50058,"male","male"
"2378","Michigan","District 33","State Representative","Jeff Yaroch","Andrea Geralds",25929,13865,"male","female"
"2379","Michigan","District 33","State Senator","Rick Outman","Mark Bignell",49856,32375,"male","male"
"2380","Michigan","District 34","State Representative","Henry Swift","Sheldon A. Neeley",2102,18886,"male","male"
"2381","Michigan","District 34","State Senator","Jon Bumstead","Poppy Sias-Hernandez",50313,45941,"male","female"
"2382","Michigan","District 35","State Representative","Theodore Alfonsetti III","Kyra Harris Bolden",6912,40606,"male","female"
"2383","Michigan","District 35","State Senator","Curt VanderWall","Mike Taillard",73688,39923,"male","male"
"2384","Michigan","District 36","State Representative","Douglas C. Wozniak","Robert Murphy",26974,12894,"male","male"
"2385","Michigan","District 36","State Senator","Jim Stamas","Joe Weir",71013,39440,"male","male"
"2386","Michigan","District 37","State Representative","Mitch Swoboda","Christine Greig",14032,28777,"male","female"
"2387","Michigan","District 37","State Senator","Wayne Schmidt","Jim Page",73338,51076,"male","male"
"2388","Michigan","District 38","State Representative","Kathy S. Crawford","Kelly A. Breen",22474,21886,"female","female"
"2389","Michigan","District 38","State Senator","Ed McBroom","Scott Dianda",59290,47279,"male","male"
"2390","Michigan","District 39","State Representative","Ryan Berman","Jennifer Suidan",23173,18093,"male","female"
"2391","Michigan","District 4","State Representative","Howard Weathington","Isaac Robinson",1159,20209,"male","male"
"2392","Michigan","District 4","State Senator","Angela Savino","Marshall Bullock",16115,58107,"female","male"
"2393","Michigan","District 40","State Representative","David Wolkinson","Mari Manoogian",23222,30222,"male","female"
"2394","Michigan","District 41","State Representative","Doug Tietz","Padma Kuppa",21170,22320,"male","female"
"2395","Michigan","District 42","State Representative","Ann Bollin","Mona M. Shand",29897,19940,"female","female"
"2396","Michigan","District 43","State Representative","Andrea K. Schroeder","Nicole Breadon",24061,18509,"female","female"
"2397","Michigan","District 44","State Representative","Matt Maddock","Laura Dodd",26186,19329,"male","female"
"2398","Michigan","District 45","State Representative","Michael Webber","Kyle Cooper",23628,19235,"male","male"
"2399","Michigan","District 46","State Representative","John Reilly","Mindy Denninger",26786,17898,"male","female"
"2400","Michigan","District 47","State Representative","Hank Vaupel","Colleen Turk",28948,14638,"male","female"
"2401","Michigan","District 48","State Representative","Al Hardwick","Sheryl Y. Kennedy",16474,19998,"male","female"
"2402","Michigan","District 49","State Representative","Patrick Duvendeck","John D. Cherry",8695,22769,"male","male"
"2403","Michigan","District 5","State Representative","Dorothy Patterson","Cynthia A. Johnson",765,12839,"female","female"
"2404","Michigan","District 5","State Senator","DeShawn Wilkins","Betty Jean Alexander",16479,70010,"male","female"
"2405","Michigan","District 50","State Representative","Trace Fisher","Tim Sneller",16515,22057,"male","male"
"2406","Michigan","District 51","State Representative","Mike Mueller","David E. Lossing",26870,18012,"male","male"
"2407","Michigan","District 52","State Representative","Teri Aiuto","Donna Lasinski",19589,30089,"female","female"
"2408","Michigan","District 53","State Representative","Jean E. Holland","Yousef Rabhi",5095,33701,"female","male"
"2409","Michigan","District 54","State Representative","Colton A. Campbell","Ronnie D. Peterson",7737,28500,"male","male"
"2410","Michigan","District 55","State Representative","Bob Baird","Rebekah Warren",10629,30185,"male","female"
"2411","Michigan","District 56","State Representative","Jason M. Sheppard","Ernie Whiteside",21979,13289,"male","male"
"2412","Michigan","District 57","State Representative","Bronna Kahle","Amber Pedersen",22936,13492,"female","female"
"2413","Michigan","District 58","State Representative","Eric Leutheuser","Tamara C. Barnes",22070,8973,"male","female"
"2414","Michigan","District 59","State Representative","Aaron Miller","Dennis B. Smith",20922,10656,"male","male"
"2415","Michigan","District 6","State Representative","Linda Sawyer","Tyrone Carter",2056,21005,"female","male"
"2416","Michigan","District 6","State Senator","Brenda Jones","Erika Geiss",38301,60789,"female","female"
"2417","Michigan","District 60","State Representative","William Baker","Jon Hoadley",8181,26772,"male","male"
"2418","Michigan","District 61","State Representative","Brandt Iden","Alberta Griffin",24002,22719,"male","female"
"2419","Michigan","District 62","State Representative","Dave Morgan","Jim Haadsma",14800,15937,"male","male"
"2420","Michigan","District 63","State Representative","Matt Hall","Jennifer Aniano",22711,15809,"male","female"
"2421","Michigan","District 64","State Representative","Julie Alexander","Sheila Troxel",18050,12470,"female","female"
"2422","Michigan","District 65","State Representative","Sarah Lightner","Terri McKinnon",21774,13942,"female","female"
"2423","Michigan","District 66","State Representative","Beth Griffin","Dan Seibert",20577,15637,"female","male"
"2424","Michigan","District 67","State Representative","Leon R. Clark","Kara Hope",18454,22565,"male","female"
"2425","Michigan","District 68","State Representative","Rosalinda Hernandez","Sarah Anthony",8210,26664,"female","female"
"2426","Michigan","District 69","State Representative","George Nastas","Julie Brixie",10847,27353,"male","female"
"2427","Michigan","District 7","State Representative","Marcelis Turner","LaTanya Garrett",630,25838,"male","female"
"2428","Michigan","District 7","State Senator","Laura Cox","Dayna Polehanki",65001,69434,"female","female"
"2429","Michigan","District 70","State Representative","James A. Lower","Kresta Train",17870,11130,"male","female"
"2430","Michigan","District 71","State Representative","Christine E. Barnes","Angela Witwer",21299,21990,"female","female"
"2431","Michigan","District 72","State Representative","Steven Johnson","Ron Draayer",21374,17273,"male","male"
"2432","Michigan","District 73","State Representative","Lynn Afendoulis","Bill Saxton",30783,20430,"female","male"
"2433","Michigan","District 74","State Representative","Mark E. Huizenga","Meagan L. Carr",24445,15964,"male","female"
"2434","Michigan","District 75","State Representative","Daniel Allen Schutte","David LaGrand",5841,23709,"male","male"
"2435","Michigan","District 76","State Representative","Amanda Brand","Rachel Hood",17366,27009,"female","female"
"2436","Michigan","District 77","State Representative","Tommy Brann","Dana Knight",22514,13819,"male","female"
"2437","Michigan","District 78","State Representative","Brad Paquette","Dean E. Hill",20596,12978,"male","male"
"2438","Michigan","District 79","State Representative","Pauline Wendzel","Joey B. Andrews",19411,15451,"female","male"
"2439","Michigan","District 8","State Representative","Valerie R. Parker","Sherry Gay Dagnogo",1022,26995,"female","female"
"2440","Michigan","District 8","State Senator","Peter J. Lucido","Paul R. Francis",76172,47154,"male","male"
"2441","Michigan","District 80","State Representative","Mary Whiteford","Mark Ludwig",25000,14275,"female","male"
"2442","Michigan","District 81","State Representative","Gary R. Eisen","Joshua Rivard",22811,13130,"male","male"
"2443","Michigan","District 82","State Representative","Gary Howell","Christopher Giles",26616,11516,"male","male"
"2444","Michigan","District 83","State Representative","Shane Hernandez","Stefanie Brown",20185,11218,"male","female"
"2445","Michigan","District 84","State Representative","Phil Green","William Shoop",23217,11417,"male","male"
"2446","Michigan","District 85","State Representative","Ben Frederick","Eric Edward Sabin",23692,14652,"male","male"
"2447","Michigan","District 86","State Representative","Thomas A. Albert","Lauren Taylor",26176,16026,"male","female"
"2448","Michigan","District 87","State Representative","Julie A. Calley","Shawn Marie Winters",27515,13213,"female","male"
"2449","Michigan","District 88","State Representative","Luke Meerman","Heidi A. Zuniga",28593,11667,"male","female"
"2450","Michigan","District 89","State Representative","Jim Lilly","Jerry Sias",27917,17061,"male","male"
"2451","Michigan","District 9","State Representative","James Stephens","Karen Whitsett",1065,20783,"male","female"
"2452","Michigan","District 9","State Senator","Jeff Bonnell","Paul Wojno",34013,65736,"male","male"
"2453","Michigan","District 90","State Representative","Bradley Slagh","Christopher Banks",24421,12754,"male","male"
"2454","Michigan","District 91","State Representative","Greg VanWoerkom","Tanya Cabala",20914,16616,"male","female"
"2455","Michigan","District 92","State Representative","Gail Eichorst","Terry J. Sabo",8917,19614,"female","male"
"2456","Michigan","District 93","State Representative","Graham Filler","Dawn D. Levey",22265,18913,"male","female"
"2457","Michigan","District 94","State Representative","Rodney Wakeman","Dave Adams",23366,18739,"male","male"
"2458","Michigan","District 95","State Representative","Dorothy Tanner","Vanessa Guerra",7149,19421,"female","female"
"2459","Michigan","District 96","State Representative","Susan Kay Kowalski","Brian K. Elder",15527,20175,"female","male"
"2460","Michigan","District 97","State Representative","Jason Wentworth","Celia Young-Wenkel",22476,10652,"male","female"
"2461","Michigan","District 98","State Representative","Annette Glenn","Sarah Schulz",20209,18629,"female","female"
"2462","Michigan","District 99","State Representative","Roger Hauck","Kristen Brown",16127,14062,"male","female"
"2463","Minnesota","Distrcit 47B","State Representative","Greg Boe","No candidate",10853,0,"male","N/A"
"2464","Minnesota","District 10A","State Representative","Josh Heintzeman","No candidate",11907,0,"male","N/A"
"2465","Minnesota","District 10B","State Representative","Dale K Lueck","No candidate",13131,0,"male","N/A"
"2466","Minnesota","District 11A","State Representative","Jeff A. Dotseth","No candidate",7518,0,"male","N/A"
"2467","Minnesota","District 11B","State Representative","Jason Rarick","No candidate",9147,0,"male","N/A"
"2468","Minnesota","District 12A","State Representative","Jeff Backer","No candidate",11382,0,"male","N/A"
"2469","Minnesota","District 12B","State Representative","Paul H. Anderson","No candidate",12219,0,"male","N/A"
"2470","Minnesota","District 13","State Senator","Jeff Howe","No candidate",21714,0,"male","N/A"
"2471","Minnesota","District 13A","State Representative","Lisa Demuth","No candidate",11348,0,"female","N/A"
"2472","Minnesota","District 13B","State Representative","Tim O'Driscoll","No candidate",12146,0,"male","N/A"
"2473","Minnesota","District 14A","State Representative","Tama Theis","No candidate",9079,0,"female","N/A"
"2474","Minnesota","District 14B","State Representative","Jim Knoblach","No candidate",3039,0,"male","N/A"
"2475","Minnesota","District 15A","State Representative","Sondra Erickson","No candidate",10495,0,"female","N/A"
"2476","Minnesota","District 15B","State Representative","Shane Mekeland","No candidate",10699,0,"male","N/A"
"2477","Minnesota","District 16A","State Representative","Chris Swedzinski","No candidate",10854,0,"male","N/A"
"2478","Minnesota","District 16B","State Representative","Paul Torkelson","No candidate",10772,0,"male","N/A"
"2479","Minnesota","District 17A","State Representative","Tim Miller","No candidate",10069,0,"male","N/A"
"2480","Minnesota","District 17B","State Representative","Dave Baker","No candidate",11908,0,"male","N/A"
"2481","Minnesota","District 18A","State Representative","Dean Urdahl","No candidate",11884,0,"male","N/A"
"2482","Minnesota","District 18B","State Representative","Glenn Gruenhagen","No candidate",10843,0,"male","N/A"
"2483","Minnesota","District 19A","State Representative","Kim Spears","No candidate",8603,0,"female","N/A"
"2484","Minnesota","District 19B","State Representative","Joe Steck","No candidate",5978,0,"male","N/A"
"2485","Minnesota","District 1A","State Representative","Dan Fabian","No candidate",11762,0,"male","N/A"
"2486","Minnesota","District 1B","State Representative","Debra ""Deb"" Kiel","No candidate",10026,0,"female","N/A"
"2487","Minnesota","District 20A","State Representative","Bob Vogel","No candidate",11982,0,"male","N/A"
"2488","Minnesota","District 20B","State Representative","Josh Gare","No candidate",8819,0,"male","N/A"
"2489","Minnesota","District 21A","State Representative","Barb Haley","No candidate",11068,0,"female","N/A"
"2490","Minnesota","District 21B","State Representative","Steve Drazkowski","No candidate",11511,0,"male","N/A"
"2491","Minnesota","District 22A","State Representative","Joe Schomacker","No candidate",10811,0,"male","N/A"
"2492","Minnesota","District 22B","State Representative","Rod Hamilton","No candidate",9756,0,"male","N/A"
"2493","Minnesota","District 23A","State Representative","Bob Gunther","No candidate",10497,0,"male","N/A"
"2494","Minnesota","District 23B","State Representative","Jeremy Munson","No candidate",10290,0,"male","N/A"
"2495","Minnesota","District 24A","State Representative","John Petersburg","No candidate",10197,0,"male","N/A"
"2496","Minnesota","District 24B","State Representative","Brian Daniels","No candidate",8972,0,"male","N/A"
"2497","Minnesota","District 25A","State Representative","Duane Quam","No candidate",10376,0,"male","N/A"
"2498","Minnesota","District 25B","State Representative","Kenneth L. Bush","No candidate",7452,0,"male","N/A"
"2499","Minnesota","District 26A","State Representative","Paul F. Wilson","No candidate",6047,0,"male","N/A"
"2500","Minnesota","District 26B","State Representative","Nels T. Pierson","No candidate",11784,0,"male","N/A"
"2501","Minnesota","District 27A","State Representative","Peggy Bennett","No candidate",9957,0,"female","N/A"
"2502","Minnesota","District 27B","State Representative","Christine Green","No candidate",6319,0,"female","N/A"
"2503","Minnesota","District 28B","State Representative","Gregory M. Davids","No candidate",10351,0,"male","N/A"
"2504","Minnesota","District 29A","State Representative","Joe McDonald","No candidate",13114,0,"male","N/A"
"2505","Minnesota","District 29B","State Representative","Marion O'Neill","No candidate",10531,0,"female","N/A"
"2506","Minnesota","District 2A","State Representative","Matthew J. Grossell","No candidate",10066,0,"male","N/A"
"2507","Minnesota","District 2B","State Representative","Steve Green","No candidate",10443,0,"male","N/A"
"2508","Minnesota","District 30A","State Representative","Nick Zerwas","No candidate",11474,0,"male","N/A"
"2509","Minnesota","District 30B","State Representative","Eric Lucero","No candidate",11962,0,"male","N/A"
"2510","Minnesota","District 31A","State Representative","Kurt Daudt","No candidate",12326,0,"male","N/A"
"2511","Minnesota","District 31B","State Representative","Calvin ""Cal"" K. Bahr","No candidate",12840,0,"male","N/A"
"2512","Minnesota","District 32A","State Representative","Brian Johnson","No candidate",11351,0,"male","N/A"
"2513","Minnesota","District 32B","State Representative","Anne Neu","No candidate",11031,0,"female","N/A"
"2514","Minnesota","District 33A","State Representative","Jerry Hertaus","No candidate",14394,0,"male","N/A"
"2515","Minnesota","District 33B","State Representative","Cindy Pugh","No candidate",11570,0,"female","N/A"
"2516","Minnesota","District 34A","State Representative","Kristin Robbins","No candidate",12486,0,"female","N/A"
"2517","Minnesota","District 34B","State Representative","Dennis Smith","No candidate",10873,0,"male","N/A"
"2518","Minnesota","District 35A","State Representative","John Heinrich","No candidate",9764,0,"male","N/A"
"2519","Minnesota","District 35B","State Representative","Peggy Scott","No candidate",11438,0,"female","N/A"
"2520","Minnesota","District 36A","State Representative","Bill Maresh","No candidate",8878,0,"male","N/A"
"2521","Minnesota","District 36B","State Representative","Jermain A. Botsio","No candidate",7302,0,"male","N/A"
"2522","Minnesota","District 37A","State Representative","Anthony Wilder","No candidate",7676,0,"male","N/A"
"2523","Minnesota","District 37B","State Representative","Nolan West","No candidate",10254,0,"male","N/A"
"2524","Minnesota","District 38A","State Representative","Linda Runbeck","No candidate",11371,0,"female","N/A"
"2525","Minnesota","District 38B","State Representative","Patti Anderson","No candidate",11187,0,"female","N/A"
"2526","Minnesota","District 39A","State Representative","Bob Dettmer","No candidate",12366,0,"male","N/A"
"2527","Minnesota","District 39B","State Representative","Kathy Lohmer","No candidate",11235,0,"female","N/A"
"2528","Minnesota","District 3A","State Representative","Randy Goutermont","No candidate",8022,0,"male","N/A"
"2529","Minnesota","District 3B","State Representative","Keith MacDonald","No candidate",8162,0,"male","N/A"
"2530","Minnesota","District 40A","State Representative","David True","No candidate",3411,0,"male","N/A"
"2531","Minnesota","District 40B","State Representative","Robert Marvin","No candidate",3903,0,"male","N/A"
"2532","Minnesota","District 41A","State Representative","Susan A. Erickson","No candidate",6453,0,"female","N/A"
"2533","Minnesota","District 42A","State Representative","Randy Jessup","No candidate",9055,0,"male","N/A"
"2534","Minnesota","District 42B","State Representative","Yele-Mis Yang","No candidate",8543,0,"Unknown","N/A"
"2535","Minnesota","District 43A","State Representative","Robert J. ""Bob"" Cardinal","No candidate",7691,0,"male","N/A"
"2536","Minnesota","District 43B","State Representative","Rachael Bucholz","No candidate",6788,0,"female","N/A"
"2537","Minnesota","District 44A","State Representative","Sarah Anderson","No candidate",11119,0,"female","N/A"
"2538","Minnesota","District 44B","State Representative","Gary Porter","No candidate",8935,0,"male","N/A"
"2539","Minnesota","District 45A","State Representative","Reid Johnson","No candidate",6520,0,"male","N/A"
"2540","Minnesota","District 45B","State Representative","Steve Merriman","No candidate",5954,0,"male","N/A"
"2541","Minnesota","District 46A","State Representative","Luke McCusker","No candidate",6297,0,"male","N/A"
"2542","Minnesota","District 46B","State Representative","Melissa Moore","No candidate",5297,0,"female","N/A"
"2543","Minnesota","District 47A","State Representative","Jim Nash","No candidate",14106,0,"male","N/A"
"2544","Minnesota","District 48A","State Representative","Ellen Cousins","No candidate",9531,0,"female","N/A"
"2545","Minnesota","District 48B","State Representative","Jenifer W. Loon","No candidate",10156,0,"female","N/A"
"2546","Minnesota","District 49A","State Representative","Dario Anselmo","No candidate",10584,0,"male","N/A"
"2547","Minnesota","District 49B","State Representative","Matt Sikich","No candidate",9446,0,"male","N/A"
"2548","Minnesota","District 4A","State Representative","Jordan Idso","No candidate",5449,0,"male","N/A"
"2549","Minnesota","District 4B","State Representative","Jason Peterson","No candidate",7285,0,"male","N/A"
"2550","Minnesota","District 50A","State Representative","Kirsten Johnson","No candidate",5730,0,"female","N/A"
"2551","Minnesota","District 50B","State Representative","Chad Anderson","No candidate",8180,0,"male","N/A"
"2552","Minnesota","District 51A","State Representative","Jim Kiner","No candidate",7446,0,"male","N/A"
"2553","Minnesota","District 51B","State Representative","Douglas D. Willetts","No candidate",8424,0,"male","N/A"
"2554","Minnesota","District 52A","State Representative","Beth L. Arntson","No candidate",6998,0,"female","N/A"
"2555","Minnesota","District 52B","State Representative","Regina Barr","No candidate",9437,0,"female","N/A"
"2556","Minnesota","District 53A","State Representative","Andy Turonie","No candidate",7293,0,"male","N/A"
"2557","Minnesota","District 53B","State Representative","Kelly Fenton","No candidate",11169,0,"female","N/A"
"2558","Minnesota","District 54A","State Representative","Keith Franke","No candidate",8924,0,"male","N/A"
"2559","Minnesota","District 54B","State Representative","Tony Jurgens","No candidate",9947,0,"male","N/A"
"2560","Minnesota","District 55A","State Representative","Erik Mortensen","No candidate",8382,0,"male","N/A"
"2561","Minnesota","District 55B","State Representative","Tony Albright","No candidate",12968,0,"male","N/A"
"2562","Minnesota","District 56A","State Representative","Drew Christenen","No candidate",9662,0,"male","N/A"
"2563","Minnesota","District 56B","State Representative","Roz Peterson","No candidate",9013,0,"female","N/A"
"2564","Minnesota","District 57A","State Representative","Matt Lundin","No candidate",9296,0,"male","N/A"
"2565","Minnesota","District 57B","State Representative","Anna Wills","No candidate",10373,0,"female","N/A"
"2566","Minnesota","District 58A","State Representative","Jon Koznick","No candidate",11769,0,"male","N/A"
"2567","Minnesota","District 58B","State Representative","Patrick Garofalo","No candidate",11549,0,"male","N/A"
"2568","Minnesota","District 59A","State Representative","Fred Statema","No candidate",1916,0,"male","N/A"
"2569","Minnesota","District 59B","State Representative","Lacy Johnson","No candidate",3357,0,"female","N/A"
"2570","Minnesota","District 5A","State Representative","Matt Bliss","No candidate",8444,0,"male","N/A"
"2571","Minnesota","District 5B","State Representative","Sandy Layman","No candidate",10108,0,"female","N/A"
"2572","Minnesota","District 60A","State Representative","Kelly Winsor","No candidate",2922,0,"female","N/A"
"2573","Minnesota","District 60B","State Representative","Joseph Pati��o","No candidate",2552,0,"male","N/A"
"2574","Minnesota","District 61A","State Representative","Jeremy Hansen","No candidate",3814,0,"male","N/A"
"2575","Minnesota","District 61B","State Representative","Scot D. Missling","No candidate",3487,0,"male","N/A"
"2576","Minnesota","District 62A","State Representative","Bruce Lundeen","No candidate",1281,0,"male","N/A"
"2577","Minnesota","District 62B","State Representative","Ronald W. Peterson","No candidate",1502,0,"male","N/A"
"2578","Minnesota","District 63A","State Representative","Kyle Bragg","No candidate",2631,0,"male","N/A"
"2579","Minnesota","District 63B","State Representative","Frank Pafko","No candidate",4307,0,"male","N/A"
"2580","Minnesota","District 64A","State Representative","Patrick JD Griffin","No candidate",3532,0,"male","N/A"
"2581","Minnesota","District 64B","State Representative","Alex Pouliot","No candidate",4812,0,"male","N/A"
"2582","Minnesota","District 65A","State Representative","Monique Giordana","No candidate",1913,0,"female","N/A"
"2583","Minnesota","District 65B","State Representative","Margaret Mary Stokely","No candidate",3275,0,"female","N/A"
"2584","Minnesota","District 66A","State Representative","Jon Heyer","No candidate",5644,0,"male","N/A"
"2585","Minnesota","District 66B","State Representative","David E. Richard","No candidate",2227,0,"male","N/A"
"2586","Minnesota","District 67B","State Representative","Fred Turk","No candidate",2827,0,"male","N/A"
"2587","Minnesota","District 6A","State Representative","Guy Anderson","No candidate",6746,0,"male","N/A"
"2588","Minnesota","District 6B","State Representative","Skeeter Tomczak","No candidate",7379,0,"male","N/A"
"2589","Minnesota","District 7A","State Representative","Dana Krivogorsky","No candidate",5439,0,"female","N/A"
"2590","Minnesota","District 7B","State Representative","Caroline Burley","No candidate",4965,0,"female","N/A"
"2591","Minnesota","District 8A","State Representative","Bud Nornes","No candidate",11331,0,"male","N/A"
"2592","Minnesota","District 8B","State Representative","Mary Franson","No candidate",11831,0,"female","N/A"
"2593","Minnesota","District 9A","State Representative","John M. Poston","No candidate",11376,0,"male","N/A"
"2594","Minnesota","District 9B","State Representative","Ron Kresha","No candidate",11802,0,"male","N/A"
"2595","Missouri","District 1","State Representative","Allen Andrews","Paul Taylor",10023,2672,"male","male"
"2596","Missouri","District 10","State Representative","Bill Falkner","Shane R. Thompson",5753,4144,"male","male"
"2597","Missouri","District 10","State Senator","Jeanie Riddle","Ayanna Shivers",48322,20412,"female","female"
"2598","Missouri","District 100","State Representative","Derek Grier","Helena Webb",11137,8969,"male","female"
"2599","Missouri","District 101","State Representative","Bruce DeGroot","Genevieve Steidtmann",12136,6671,"male","female"
"2600","Missouri","District 102","State Representative","Ron Hicks","John F. Foster",10883,7184,"male","male"
"2601","Missouri","District 103","State Representative","John D. Wiemann","Jim Klenc",11343,7289,"male","male"
"2602","Missouri","District 104","State Representative","Adam Schnelting","Peggy Sherwin",9663,7507,"male","female"
"2603","Missouri","District 105","State Representative","Phil Christofanelli","Scott Cernicek",10410,7941,"male","male"
"2604","Missouri","District 106","State Representative","Chrissy Sommer","Jackie Sclair",8784,6462,"female","female"
"2605","Missouri","District 107","State Representative","Nick Schroer","Curtis Wylde",9759,6758,"male","male"
"2606","Missouri","District 108","State Representative","Justin Hill","Betty Vining",11097,6967,"male","female"
"2607","Missouri","District 109","State Representative","John Simmons","James Cordrey",10453,5180,"male","male"
"2608","Missouri","District 11","State Representative","Brenda Shields","Brady Lee O'Dell",9144,4856,"female","male"
"2609","Missouri","District 110","State Representative","Dottie Bailey","Cody Kelley",10843,6418,"female","male"
"2610","Missouri","District 111","State Representative","Shane Roden","Phoebe Ottomeyer",9826,5212,"male","female"
"2611","Missouri","District 112","State Representative","Rob Vescovo","Benjamin Hagin",9621,6074,"male","male"
"2612","Missouri","District 113","State Representative","Dan Shaul","Karen Settlemoir-Berg",7940,6109,"male","female"
"2613","Missouri","District 114","State Representative","Becky Ruth","Dennis McDonald",9664,4624,"female","male"
"2614","Missouri","District 115","State Representative","Elaine Freeman Gannon","No candidate",10598,0,"female","N/A"
"2615","Missouri","District 116","State Representative","Dale L. Wright","Bill Kraemer",9531,5354,"male","male"
"2616","Missouri","District 117","State Representative","Mike Henderson","Kayla Chick",8169,3168,"male","female"
"2617","Missouri","District 118","State Representative","Mike McGirl","Barbara Marco",8215,4309,"male","female"
"2618","Missouri","District 119","State Representative","Nate Tate","Marcie Nichols",9164,3776,"male","female"
"2619","Missouri","District 12","State Representative","Kenneth Wilson","Sandy Van Wagner",10375,6740,"male","female"
"2620","Missouri","District 12","State Senator","Dan Hegeman","Terry Richard",50035,18986,"male","male"
"2621","Missouri","District 120","State Representative","Jason Chipman","Theresa Schmitt",9479,3931,"male","female"
"2622","Missouri","District 121","State Representative","Don Mayhew","Matt Heltz",7996,3544,"male","male"
"2623","Missouri","District 122","State Representative","Steve Lynch","No candidate",5661,0,"male","N/A"
"2624","Missouri","District 123","State Representative","Suzie Pollock","Joe Register",11606,3309,"female","male"
"2625","Missouri","District 124","State Representative","Rocky Miller","Steve Dakopolos",13009,3514,"male","male"
"2626","Missouri","District 125","State Representative","Warren D. Love","Chase Crawford",9738,5443,"male","male"
"2627","Missouri","District 126","State Representative","Patricia Pike","Jim Hogan",9905,2919,"female","male"
"2628","Missouri","District 127","State Representative","Ann Kelley","Teri Hanna",12276,2534,"female","female"
"2629","Missouri","District 128","State Representative","Mike Stephens","Rich Horton",11153,2904,"male","male"
"2630","Missouri","District 129","State Representative","Jeff Knight","Ronna Ford",10502,3505,"male","female"
"2631","Missouri","District 13","State Representative","Vic Allred","Mitch Weber",10575,8864,"male","male"
"2632","Missouri","District 130","State Representative","Jeff Messenger","Tyler Gunlock",11325,4565,"male","male"
"2633","Missouri","District 131","State Representative","Sonya Murray Anderson","Nate Branscom",9053,4387,"female","male"
"2634","Missouri","District 132","State Representative","Sarah Semple","Crystal Quade",2982,5383,"female","female"
"2635","Missouri","District 133","State Representative","Curtis D. Trent","Cindy Slimp",10530,5831,"male","female"
"2636","Missouri","District 134","State Representative","Elijah Haahr","Derrick Nowlin",8703,6575,"male","male"
"2637","Missouri","District 135","State Representative","Steve Helms","Rob Bailey",7821,6985,"male","male"
"2638","Missouri","District 136","State Representative","J. Craig Fishel","Jeff Munzinger",11577,8661,"Unknown","male"
"2639","Missouri","District 137","State Representative","John F. Black","Raymond Lampert",13360,4443,"male","male"
"2640","Missouri","District 138","State Representative","Brad Hudson","No candidate",14734,0,"male","N/A"
"2641","Missouri","District 139","State Representative","Jered Taylor","Cora Hanf",12786,4232,"male","female"
"2642","Missouri","District 14","State Representative","Kevin Corlew","Matt Sain",8904,8989,"male","male"
"2643","Missouri","District 14","State Senator","No candidate","Brian Williams",0,53234,"N/A","male"
"2644","Missouri","District 140","State Representative","Lynn Morris","Tony Smith",12292,3991,"female","male"
"2645","Missouri","District 141","State Representative","Hannah Kelly","No candidate",11516,0,"female","N/A"
"2646","Missouri","District 142","State Representative","Robert Ross","No candidate",10412,0,"male","N/A"
"2647","Missouri","District 143","State Representative","Jeffrey Pogue","No candidate",11009,0,"male","N/A"
"2648","Missouri","District 144","State Representative","Chris Dinkins","No candidate",9782,0,"male","N/A"
"2649","Missouri","District 145","State Representative","Rick Francis","Ronald G. Pember",11381,2445,"male","male"
"2650","Missouri","District 146","State Representative","Barry D. Hovis","Gayla A. Dace",15289,3381,"male","female"
"2651","Missouri","District 147","State Representative","Kathy Swan","Renita Green",8616,4685,"female","female"
"2652","Missouri","District 148","State Representative","Holly Rehder","No candidate",10937,0,"female","N/A"
"2653","Missouri","District 149","State Representative","Don Rone","Bill Burlison",6633,2938,"male","male"
"2654","Missouri","District 15","State Representative","Steve West","Jon Carpenter",5411,9281,"male","male"
"2655","Missouri","District 150","State Representative","Andrew McDaniel","Josh Rittenberry",6525,2132,"male","male"
"2656","Missouri","District 151","State Representative","Herman Morse","J. T. (Jerry) Howard",10270,2455,"male","Unknown"
"2657","Missouri","District 152","State Representative","Hardy Billington","Robert L. Smith",7373,3307,"male","male"
"2658","Missouri","District 153","State Representative","Jeff Shawan","Matt Michel",9717,3331,"male","male"
"2659","Missouri","District 154","State Representative","David Evans","No candidate",11628,0,"male","N/A"
"2660","Missouri","District 155","State Representative","Karla Eslinger","No candidate",12778,0,"female","N/A"
"2661","Missouri","District 156","State Representative","Jeff Justus","No candidate",12891,0,"male","N/A"
"2662","Missouri","District 157","State Representative","Mike Moon","Loretta Thomas",10551,2819,"male","female"
