"","X","state","district","office","candidate_other","candidate_republican","candidate_democrat","total_votes_other","total_votes_republican","total_votes_democrat","vote_share_dem","vote_share_rep","vote_share_other","winner_party","gender_democrat","gender_republican","winner_gender","year"
"2598",2598,"Minnesota","District 24B","State Representative","Yvette Marthaler","Brian Daniels","No candidate",6076,8972,0,0,0.596225412014886,0.403774587985114,"Republican","N/A","male","male",2018
"2599",2599,"Minnesota","District 25A","State Representative","Jamie Mahlberg","Duane Quam","No candidate",8957,10376,0,0,0.536698908601872,0.463301091398128,"Republican","N/A","male","male",2018
"2600",2600,"Minnesota","District 25B","State Representative","Duane Sauke","Kenneth L. Bush","No candidate",11260,7452,0,0,0.398247114151347,0.601752885848653,"Other","N/A","male","Other candidate",2018
"2601",2601,"Minnesota","District 26A","State Representative","Tina Liebling","Paul F. Wilson","No candidate",10429,6047,0,0,0.367018693857732,0.632981306142268,"Other","N/A","male","Other candidate",2018
"2602",2602,"Minnesota","District 26B","State Representative","Tyrel Clark","Nels T. Pierson","No candidate",10144,11784,0,0,0.537395111273258,0.462604888726742,"Republican","N/A","male","male",2018
"2603",2603,"Minnesota","District 27A","State Representative","Terry Gjersvik","Peggy Bennett","No candidate",7651,9957,0,0,0.565481599273058,0.434518400726942,"Republican","N/A","female","female",2018
"2604",2604,"Minnesota","District 27B","State Representative","Jeanne Poppe","Christine Green","No candidate",8523,6319,0,0,0.425751246462741,0.574248753537259,"Other","N/A","female","Other candidate",2018
"2605",2605,"Minnesota","District 28A","State Representative","Gene Pelowski Jr.","No candidate","No candidate",12587,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"2606",2606,"Minnesota","District 28B","State Representative","Thomas Trehus","Gregory M. Davids","No candidate",8308,10351,0,0,0.554745699126427,0.445254300873573,"Republican","N/A","male","male",2018
"2607",2607,"Minnesota","District 29A","State Representative","Ren��e Cardarelle","Joe McDonald","No candidate",6193,13114,0,0,0.679235510436629,0.320764489563371,"Republican","N/A","male","male",2018
"2608",2608,"Minnesota","District 29B","State Representative","Sharon A. McGinty","Marion O'Neill","No candidate",6434,10531,0,0,0.620748600058945,0.379251399941055,"Republican","N/A","female","female",2018
"2609",2609,"Minnesota","District 2A","State Representative","Michael Northbird","Matthew J. Grossell","No candidate",6765,10066,0,0,0.598063097855148,0.401936902144852,"Republican","N/A","male","male",2018
"2610",2610,"Minnesota","District 2B","State Representative","Karen Branden","Steve Green","No candidate",6655,10443,0,0,0.610773189846766,0.389226810153234,"Republican","N/A","male","male",2018
"2611",2611,"Minnesota","District 30A","State Representative","Sarah Hamlin","Nick Zerwas","No candidate",6357,11474,0,0,0.643486063597106,0.356513936402894,"Republican","N/A","male","male",2018
"2612",2612,"Minnesota","District 30B","State Representative","Margaret Fernandez","Eric Lucero","No candidate",6970,11962,0,0,0.63184027044158,0.36815972955842,"Republican","N/A","male","male",2018
"2613",2613,"Minnesota","District 31A","State Representative","Brad Brown","Kurt Daudt","No candidate",5501,12326,0,0,0.691423122230325,0.308576877769675,"Republican","N/A","male","male",2018
"2614",2614,"Minnesota","District 31B","State Representative","Sue Larson","Calvin ""Cal"" K. Bahr","No candidate",7080,12840,0,0,0.644578313253012,0.355421686746988,"Republican","N/A","male","male",2018
"2615",2615,"Minnesota","District 32A","State Representative","Renae Berg","Brian Johnson","No candidate",6522,11351,0,0,0.635092038270016,0.364907961729984,"Republican","N/A","male","male",2018
"2616",2616,"Minnesota","District 32B","State Representative","Jeff Peterson","Anne Neu","No candidate",7971,11031,0,0,0.580517840227345,0.419482159772656,"Republican","N/A","female","female",2018
"2617",2617,"Minnesota","District 33A","State Representative","Norrie Thomas","Jerry Hertaus","No candidate",9979,14394,0,0,0.590571534074591,0.409428465925409,"Republican","N/A","male","male",2018
"2618",2618,"Minnesota","District 33B","State Representative","Kelly Morrison","Cindy Pugh","No candidate",11786,11570,0,0,0.495375920534338,0.504624079465662,"Other","N/A","female","Other candidate",2018
"2619",2619,"Minnesota","District 34A","State Representative","Dan Solon","Kristin Robbins","No candidate",9601,12486,0,0,0.565309910807262,0.434690089192738,"Republican","N/A","female","female",2018
"2620",2620,"Minnesota","District 34B","State Representative","Kristin Bahner","Dennis Smith","No candidate",12194,10873,0,0,0.471366020722244,0.528633979277756,"Other","N/A","male","Other candidate",2018
"2621",2621,"Minnesota","District 35A","State Representative","Bill Vikander","John Heinrich","No candidate",8145,9764,0,0,0.545200737059579,0.454799262940421,"Republican","N/A","male","male",2018
"2622",2622,"Minnesota","District 35B","State Representative","Kathryn Eckhardt","Peggy Scott","No candidate",8771,11438,0,0,0.565985452026325,0.434014547973675,"Republican","N/A","female","female",2018
"2623",2623,"Minnesota","District 36A","State Representative","Zack Stephenson","Bill Maresh","No candidate",9759,8878,0,0,0.476364221709503,0.523635778290497,"Other","N/A","male","Other candidate",2018
"2624",2624,"Minnesota","District 36B","State Representative","Melissa Hortman","Jermain A. Botsio","No candidate",12514,7302,0,0,0.368490109002826,0.631509890997174,"Other","N/A","male","Other candidate",2018
"2625",2625,"Minnesota","District 37A","State Representative","Erin Koegel","Anthony Wilder","No candidate",9816,7676,0,0,0.438829179053282,0.561170820946719,"Other","N/A","male","Other candidate",2018
"2626",2626,"Minnesota","District 37B","State Representative","Amir Joseph Malik","Nolan West","No candidate",10101,10254,0,0,0.503758290346352,0.496241709653648,"Republican","N/A","male","male",2018
"2627",2627,"Minnesota","District 38A","State Representative","Kevin Fogarty","Linda Runbeck","No candidate",9229,11371,0,0,0.551990291262136,0.448009708737864,"Republican","N/A","female","female",2018
"2628",2628,"Minnesota","District 38B","State Representative","Ami Wazlawik","Patti Anderson","No candidate",11573,11187,0,0,0.491520210896309,0.508479789103691,"Other","N/A","female","Other candidate",2018
"2629",2629,"Minnesota","District 39A","State Representative","Ann Mozey","Bob Dettmer","No candidate",9881,12366,0,0,0.555850226996898,0.444149773003102,"Republican","N/A","male","male",2018
"2630",2630,"Minnesota","District 39B","State Representative","Shelly Christensen","Kathy Lohmer","No candidate",11372,11235,0,0,0.496969965055071,0.503030034944929,"Other","N/A","female","Other candidate",2018
"2631",2631,"Minnesota","District 3A","State Representative","Rob Ecklund","Randy Goutermont","No candidate",11783,8022,0,0,0.405049229992426,0.594950770007574,"Other","N/A","male","Other candidate",2018
"2632",2632,"Minnesota","District 3B","State Representative","Mary Murphy","Keith MacDonald","No candidate",12282,8162,0,0,0.399236939933477,0.600763060066523,"Other","N/A","male","Other candidate",2018
"2633",2633,"Minnesota","District 40A","State Representative","Michael V. Nelson","David True","No candidate",9387,3411,0,0,0.266526019690577,0.733473980309423,"Other","N/A","male","Other candidate",2018
"2634",2634,"Minnesota","District 40B","State Representative","Samantha Vang","Robert Marvin","No candidate",10512,3903,0,0,0.270759625390219,0.729240374609782,"Other","N/A","male","Other candidate",2018
"2635",2635,"Minnesota","District 41A","State Representative","Connie Bernardy","Susan A. Erickson","No candidate",11967,6453,0,0,0.350325732899023,0.649674267100977,"Other","N/A","female","Other candidate",2018
"2636",2636,"Minnesota","District 41B","State Representative","Mary Kunesh-Podein","No candidate","No candidate",12408,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"2637",2637,"Minnesota","District 41B","State Representative","Tim Utz","No candidate","No candidate",6397,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"2638",2638,"Minnesota","District 42A","State Representative","Kelly Moller","Randy Jessup","No candidate",12289,9055,0,0,0.424241004497751,0.575758995502249,"Other","N/A","male","Other candidate",2018
"2639",2639,"Minnesota","District 42B","State Representative","Jamie Becker-Finn","Yele-Mis Yang","No candidate",13042,8543,0,0,0.395784109335186,0.604215890664814,"Other","N/A","Unknown","Other candidate",2018
"2640",2640,"Minnesota","District 43A","State Representative","Peter M. Fischer","Robert J. ""Bob"" Cardinal","No candidate",12253,7691,0,0,0.385629763337345,0.614370236662655,"Other","N/A","male","Other candidate",2018
"2641",2641,"Minnesota","District 43B","State Representative","Leon M. Lillie","Rachael Bucholz","No candidate",11253,6788,0,0,0.37625408791087,0.62374591208913,"Other","N/A","female","Other candidate",2018
"2642",2642,"Minnesota","District 44A","State Representative","Ginny Klevorn","Sarah Anderson","No candidate",12995,11119,0,0,0.461101434851124,0.538898565148876,"Other","N/A","female","Other candidate",2018
"2643",2643,"Minnesota","District 44B","State Representative","Patty Acomb","Gary Porter","No candidate",15082,8935,0,0,0.3720281467294,0.6279718532706,"Other","N/A","male","Other candidate",2018
"2644",2644,"Minnesota","District 45A","State Representative","Lyndon R. Carlson","Reid Johnson","No candidate",12347,6520,0,0,0.34557693326973,0.65442306673027,"Other","N/A","male","Other candidate",2018
"2645",2645,"Minnesota","District 45B","State Representative","Mike Freiberg","Steve Merriman","No candidate",15727,5954,0,0,0.27461832941285,0.72538167058715,"Other","N/A","male","Other candidate",2018
"2646",2646,"Minnesota","District 46A","State Representative","Ryan Winkler","Luke McCusker","No candidate",16692,6297,0,0,0.273913610857367,0.726086389142633,"Other","N/A","male","Other candidate",2018
"2647",2647,"Minnesota","District 46B","State Representative","Cheryl Youakim","Melissa Moore","No candidate",16400,5297,0,0,0.244135133889478,0.755864866110522,"Other","N/A","female","Other candidate",2018
"2648",2648,"Minnesota","District 47A","State Representative","Madalynn Gerold","Jim Nash","No candidate",7680,14106,0,0,0.647480033048747,0.352519966951253,"Republican","N/A","male","male",2018
"2649",2649,"Minnesota","District 48A","State Representative","Laurie Pryor","Ellen Cousins","No candidate",13980,9531,0,0,0.405384713538344,0.594615286461656,"Other","N/A","female","Other candidate",2018
"2650",2650,"Minnesota","District 48B","State Representative","Carlie Kotyza-Witthuhn","Jenifer W. Loon","No candidate",10397,10156,0,0,0.494137108937868,0.505862891062132,"Other","N/A","female","Other candidate",2018
"2651",2651,"Minnesota","District 49A","State Representative","Heather Edelson","Dario Anselmo","No candidate",14725,10584,0,0,0.418191157295824,0.581808842704176,"Other","N/A","male","Other candidate",2018
"2652",2652,"Minnesota","District 49B","State Representative","Steve Elkins","Matt Sikich","No candidate",15264,9446,0,0,0.382274382840955,0.617725617159045,"Other","N/A","male","Other candidate",2018
"2653",2653,"Minnesota","District 4A","State Representative","Ben Lien","Jordan Idso","No candidate",10335,5449,0,0,0.34522301064369,0.65477698935631,"Other","N/A","male","Other candidate",2018
"2654",2654,"Minnesota","District 4B","State Representative","Paul Marquart","Jason Peterson","No candidate",10461,7285,0,0,0.410515045644089,0.589484954355911,"Other","N/A","male","Other candidate",2018
"2655",2655,"Minnesota","District 50A","State Representative","Michael Howard","Kirsten Johnson","No candidate",12359,5730,0,0,0.316767096025209,0.683232903974791,"Other","N/A","female","Other candidate",2018
"2656",2656,"Minnesota","District 50B","State Representative","Andrew Carlson","Chad Anderson","No candidate",12745,8180,0,0,0.390919952210275,0.609080047789725,"Other","N/A","male","Other candidate",2018
"2657",2657,"Minnesota","District 51A","State Representative","Sandra Masin","Jim Kiner","No candidate",11875,7446,0,0,0.385383779307489,0.614616220692511,"Other","N/A","male","Other candidate",2018
"2658",2658,"Minnesota","District 51B","State Representative","Laurie Halverson","Douglas D. Willetts","No candidate",13879,8424,0,0,0.377707034928037,0.622292965071963,"Other","N/A","male","Other candidate",2018
"2659",2659,"Minnesota","District 52A","State Representative","Rick Hansen","Beth L. Arntson","No candidate",13549,6998,0,0,0.340585000243345,0.659414999756656,"Other","N/A","female","Other candidate",2018
"2660",2660,"Minnesota","District 52B","State Representative","Ruth Richardson","Regina Barr","No candidate",11004,9437,0,0,0.461670172692138,0.538329827307862,"Other","N/A","female","Other candidate",2018
"2661",2661,"Minnesota","District 53A","State Representative","Tou Xiong","Andy Turonie","No candidate",11526,7293,0,0,0.387533875338753,0.612466124661247,"Other","N/A","male","Other candidate",2018
"2662",2662,"Minnesota","District 53B","State Representative","Steve Sandell","Kelly Fenton","No candidate",12261,11169,0,0,0.476696542893726,0.523303457106274,"Other","N/A","female","Other candidate",2018
"2663",2663,"Minnesota","District 54A","State Representative","Anne Claflin","Keith Franke","No candidate",9300,8924,0,0,0.489683933274802,0.510316066725198,"Other","N/A","male","Other candidate",2018
"2664",2664,"Minnesota","District 54B","State Representative","Tina Folch","Tony Jurgens","No candidate",9525,9947,0,0,0.510836072308956,0.489163927691044,"Republican","N/A","male","male",2018
"2665",2665,"Minnesota","District 55A","State Representative","Brad Tabke","Erik Mortensen","No candidate",8984,8382,0,0,0.4826672808937,0.5173327191063,"Other","N/A","male","Other candidate",2018
"2666",2666,"Minnesota","District 55B","State Representative","Matt Christensen","Tony Albright","No candidate",8215,12968,0,0,0.612189019496766,0.387810980503234,"Republican","N/A","male","male",2018
"2667",2667,"Minnesota","District 56A","State Representative","Hunter Cantrell","Drew Christenen","No candidate",10813,9662,0,0,0.471892551892552,0.528107448107448,"Other","N/A","male","Other candidate",2018
"2668",2668,"Minnesota","District 56B","State Representative","Alice Mann","Roz Peterson","No candidate",10035,9013,0,0,0.473173036539269,0.526826963460731,"Other","N/A","female","Other candidate",2018
"2669",2669,"Minnesota","District 57A","State Representative","Robert Bierman","Matt Lundin","No candidate",12006,9296,0,0,0.436390949206647,0.563609050793353,"Other","N/A","male","Other candidate",2018
"2670",2670,"Minnesota","District 57A","State Representative","Matthew Swenson","No candidate","No candidate",704,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"2671",2671,"Minnesota","District 57B","State Representative","John Huot","Anna Wills","No candidate",11209,10373,0,0,0.480632008154944,0.519367991845056,"Other","N/A","female","Other candidate",2018
"2672",2672,"Minnesota","District 58A","State Representative","Maggie Williams","Jon Koznick","No candidate",9354,11769,0,0,0.557165175401221,0.442834824598779,"Republican","N/A","male","male",2018
"2673",2673,"Minnesota","District 58B","State Representative","Marla Vagts","Patrick Garofalo","No candidate",8060,11549,0,0,0.588964251109185,0.411035748890815,"Republican","N/A","male","male",2018
"2674",2674,"Minnesota","District 59A","State Representative","Fue Lee","Fred Statema","No candidate",12046,1916,0,0,0.137229623263143,0.862770376736857,"Other","N/A","male","Other candidate",2018
"2675",2675,"Minnesota","District 59B","State Representative","Raymond Dehn","Lacy Johnson","No candidate",15826,3357,0,0,0.174998696762759,0.825001303237241,"Other","N/A","female","Other candidate",2018
"2676",2676,"Minnesota","District 5A","State Representative","John Persell","Matt Bliss","No candidate",8452,8444,0,0,0.499763257575758,0.500236742424242,"Other","N/A","male","Other candidate",2018
"2677",2677,"Minnesota","District 5B","State Representative","Pat Medure","Sandy Layman","No candidate",0,10108,0,0,1,0,"Republican","N/A","female","female",2018
"2678",2678,"Minnesota","District 60A","State Representative","Diane Loeffler","Kelly Winsor","No candidate",19026,2922,0,0,0.133132859486058,0.866867140513942,"Other","N/A","female","Other candidate",2018
"2679",2679,"Minnesota","District 60B","State Representative","Mohamud Noor","Joseph Pati��o","No candidate",16440,2552,0,0,0.134372367312553,0.865627632687447,"Other","N/A","male","Other candidate",2018
"2680",2680,"Minnesota","District 61A","State Representative","Frank Hornstein","Jeremy Hansen","No candidate",23736,3814,0,0,0.138439201451906,0.861560798548094,"Other","N/A","male","Other candidate",2018
"2681",2681,"Minnesota","District 61B","State Representative","Jamie Long","Scot D. Missling","No candidate",21289,3487,0,0,0.140741039715854,0.859258960284146,"Other","N/A","male","Other candidate",2018
"2682",2682,"Minnesota","District 62A","State Representative","Hodan Hassan","Bruce Lundeen","No candidate",13107,1281,0,0,0.0890325271059216,0.910967472894078,"Other","N/A","male","Other candidate",2018
"2683",2683,"Minnesota","District 62B","State Representative","Aisha Gomez","Ronald W. Peterson","No candidate",17928,1502,0,0,0.0773031394750386,0.922696860524961,"Other","N/A","male","Other candidate",2018
"2684",2684,"Minnesota","District 63A","State Representative","Jim Davnie","Kyle Bragg","No candidate",21278,2631,0,0,0.110042243506629,0.889957756493371,"Other","N/A","male","Other candidate",2018
"2685",2685,"Minnesota","District 63B","State Representative","Jean Wagenius","Frank Pafko","No candidate",18403,4307,0,0,0.189652135623074,0.810347864376927,"Other","N/A","male","Other candidate",2018
"2686",2686,"Minnesota","District 64A","State Representative","Kaohly Her","Patrick JD Griffin","No candidate",18995,3532,0,0,0.156789630221512,0.843210369778488,"Other","N/A","male","Other candidate",2018
"2687",2687,"Minnesota","District 64B","State Representative","Dave Pinto","Alex Pouliot","No candidate",19447,4812,0,0,0.198359371779546,0.801640628220454,"Other","N/A","male","Other candidate",2018
"2688",2688,"Minnesota","District 65A","State Representative","Rena Moran","Monique Giordana","No candidate",12785,1913,0,0,0.130153762416655,0.869846237583345,"Other","N/A","female","Other candidate",2018
"2689",2689,"Minnesota","District 65B","State Representative","Carlos Mariani","Margaret Mary Stokely","No candidate",14540,3275,0,0,0.183833847880999,0.816166152119001,"Other","N/A","female","Other candidate",2018
"2690",2690,"Minnesota","District 66A","State Representative","Alice Hausman","Jon Heyer","No candidate",16035,5644,0,0,0.260344111813276,0.739655888186724,"Other","N/A","male","Other candidate",2018
"2691",2691,"Minnesota","District 66B","State Representative","John lesch","David E. Richard","No candidate",11486,2227,0,0,0.162400641726829,0.837599358273171,"Other","N/A","male","Other candidate",2018
"2692",2692,"Minnesota","District 67A","State Representative","Tim Mahoney","No candidate","No candidate",9557,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"2693",2693,"Minnesota","District 67B","State Representative","Jay Xiong","Fred Turk","No candidate",10235,2827,0,0,0.216429337008115,0.783570662991885,"Other","N/A","male","Other candidate",2018
"2694",2694,"Minnesota","District 6A","State Representative","Julie Sandstede","Guy Anderson","No candidate",11055,6746,0,0,0.378967473737431,0.62103252626257,"Other","N/A","male","Other candidate",2018
"2695",2695,"Minnesota","District 6B","State Representative","Dave Lislegard","Skeeter Tomczak","No candidate",12075,7379,0,0,0.379305027243754,0.620694972756246,"Other","N/A","male","Other candidate",2018
"2696",2696,"Minnesota","District 7A","State Representative","Jennifer Schultz","Dana Krivogorsky","No candidate",15300,5439,0,0,0.262259511066107,0.737740488933893,"Other","N/A","female","Other candidate",2018
"2697",2697,"Minnesota","District 7B","State Representative","Liz Olson","Caroline Burley","No candidate",12739,4965,0,0,0.280445097153186,0.719554902846814,"Other","N/A","female","Other candidate",2018
"2698",2698,"Minnesota","District 8A","State Representative","Brittney Johnson","Bud Nornes","No candidate",7625,11331,0,0,0.597752690441021,0.402247309558979,"Republican","N/A","male","male",2018
"2699",2699,"Minnesota","District 8B","State Representative","Gail Kulp","Mary Franson","No candidate",7231,11831,0,0,0.620658902528591,0.379341097471409,"Republican","N/A","female","female",2018
"2700",2700,"Minnesota","District 9A","State Representative","Alex Hering","John M. Poston","No candidate",5021,11376,0,0,0.693785448557663,0.306214551442337,"Republican","N/A","male","male",2018
"2701",2701,"Minnesota","District 9B","State Representative","Stephen Browning","Ron Kresha","No candidate",4548,11802,0,0,0.721834862385321,0.278165137614679,"Republican","N/A","male","male",2018
"2702",2702,"Mississippi","District 31","State Representative","Ada M. Lindsey","No candidate","No candidate",496,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"2703",2703,"Mississippi","District 31","State Representative","B.C. Hammond","No candidate","No candidate",534,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"2704",2704,"Mississippi","District 31","State Representative","Barbara Rose Brooks","No candidate","No candidate",1383,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"2705",2705,"Mississippi","District 31","State Representative","Carolyn Steele Johnson","No candidate","No candidate",928,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"2706",2706,"Mississippi","District 31","State Representative","Charles Modley","No candidate","No candidate",653,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"2707",2707,"Mississippi","District 31","State Representative","Jeanette Knighten-Washington","No candidate","No candidate",468,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"2708",2708,"Mississippi","District 31","State Representative","Otis L. Anthony","No candidate","No candidate",1649,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"2709",2709,"Mississippi","District 31","State Representative","Shannon D. Brown","No candidate","No candidate",1430,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"2710",2710,"Mississippi","District 85","State Representative","Jeffery Harness","No candidate","No candidate",1652,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"2711",2711,"Mississippi","District 85","State Representative","Jo Ann Collins-Smith","No candidate","No candidate",1955,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"2712",2712,"Mississippi","District 85","State Representative","Maurice Hudson","No candidate","No candidate",669,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"2713",2713,"Mississippi","District 85","State Representative","Tyler K. Doss","No candidate","No candidate",1388,0,0,0,0,1,"Other","N/A","N/A","Other candidate",2018
"2714",2714,"Missouri","District 1","State Representative","No candidate","Allen Andrews","Paul Taylor",0,10023,2672,0.210476565576999,0.789523434423001,0,"Republican","male","male","male",2018
"2715",2715,"Missouri","District 10","State Representative","No candidate","Bill Falkner","Shane R. Thompson",0,5753,4144,0.418712741234718,0.581287258765282,0,"Republican","male","male","male",2018
"2716",2716,"Missouri","District 10","State Senator","No candidate","Jeanie Riddle","Ayanna Shivers",0,48322,20412,0.296970931416766,0.703029068583234,0,"Republican","female","female","female",2018
"2717",2717,"Missouri","District 100","State Representative","No candidate","Derek Grier","Helena Webb",0,11137,8969,0.446085745548592,0.553914254451408,0,"Republican","female","male","male",2018
"2718",2718,"Missouri","District 101","State Representative","No candidate","Bruce DeGroot","Genevieve Steidtmann",0,12136,6671,0.354708353272718,0.645291646727282,0,"Republican","female","male","male",2018
"2719",2719,"Missouri","District 102","State Representative","No candidate","Ron Hicks","John F. Foster",0,10883,7184,0.397631040017712,0.602368959982288,0,"Republican","male","male","male",2018
"2720",2720,"Missouri","District 103","State Representative","No candidate","John D. Wiemann","Jim Klenc",0,11343,7289,0.391208673250322,0.608791326749678,0,"Republican","male","male","male",2018
"2721",2721,"Missouri","District 104","State Representative","No candidate","Adam Schnelting","Peggy Sherwin",0,9663,7507,0.437216074548631,0.562783925451369,0,"Republican","female","male","male",2018
"2722",2722,"Missouri","District 105","State Representative","Bill Slantz","Phil Christofanelli","Scott Cernicek",398,10410,7941,0.423542588938077,0.555229612245986,0.0212277988159368,"Republican","male","male","male",2018
"2723",2723,"Missouri","District 106","State Representative","No candidate","Chrissy Sommer","Jackie Sclair",0,8784,6462,0.423848878394333,0.576151121605667,0,"Republican","female","female","female",2018
"2724",2724,"Missouri","District 107","State Representative","No candidate","Nick Schroer","Curtis Wylde",0,9759,6758,0.409154204758733,0.590845795241267,0,"Republican","male","male","male",2018
"2725",2725,"Missouri","District 108","State Representative","No candidate","Justin Hill","Betty Vining",0,11097,6967,0.385684233835252,0.614315766164748,0,"Republican","female","male","male",2018
"2726",2726,"Missouri","District 109","State Representative","No candidate","John Simmons","James Cordrey",0,10453,5180,0.331350348621506,0.668649651378494,0,"Republican","male","male","male",2018
"2727",2727,"Missouri","District 11","State Representative","No candidate","Brenda Shields","Brady Lee O'Dell",0,9144,4856,0.346857142857143,0.653142857142857,0,"Republican","male","female","female",2018
"2728",2728,"Missouri","District 110","State Representative","No candidate","Dottie Bailey","Cody Kelley",0,10843,6418,0.371820867852384,0.628179132147616,0,"Republican","male","female","female",2018
"2729",2729,"Missouri","District 111","State Representative","No candidate","Shane Roden","Phoebe Ottomeyer",0,9826,5212,0.346588642106663,0.653411357893337,0,"Republican","female","male","male",2018
"2730",2730,"Missouri","District 112","State Representative","No candidate","Rob Vescovo","Benjamin Hagin",0,9621,6074,0.387002230009557,0.612997769990443,0,"Republican","male","male","male",2018
"2731",2731,"Missouri","District 113","State Representative","No candidate","Dan Shaul","Karen Settlemoir-Berg",0,7940,6109,0.434835219588583,0.565164780411417,0,"Republican","female","male","male",2018
"2732",2732,"Missouri","District 114","State Representative","No candidate","Becky Ruth","Dennis McDonald",0,9664,4624,0.323628219484882,0.676371780515118,0,"Republican","male","female","female",2018
"2733",2733,"Missouri","District 115","State Representative","No candidate","Elaine Freeman Gannon","No candidate",0,10598,0,0,1,0,"Republican","N/A","female","female",2018
"2734",2734,"Missouri","District 116","State Representative","No candidate","Dale L. Wright","Bill Kraemer",0,9531,5354,0.359690964057776,0.640309035942224,0,"Republican","male","male","male",2018
"2735",2735,"Missouri","District 117","State Representative","No candidate","Mike Henderson","Kayla Chick",0,8169,3168,0.279439005027785,0.720560994972215,0,"Republican","female","male","male",2018
"2736",2736,"Missouri","District 118","State Representative","No candidate","Mike McGirl","Barbara Marco",0,8215,4309,0.344059405940594,0.655940594059406,0,"Republican","female","male","male",2018
"2737",2737,"Missouri","District 119","State Representative","No candidate","Nate Tate","Marcie Nichols",0,9164,3776,0.291808346213292,0.708191653786708,0,"Republican","female","male","male",2018
"2738",2738,"Missouri","District 12","State Representative","No candidate","Kenneth Wilson","Sandy Van Wagner",0,10375,6740,0.393806602395559,0.606193397604441,0,"Republican","female","male","male",2018
"2739",2739,"Missouri","District 12","State Senator","No candidate","Dan Hegeman","Terry Richard",0,50035,18986,0.275075701598064,0.724924298401936,0,"Republican","male","male","male",2018
"2740",2740,"Missouri","District 120","State Representative","No candidate","Jason Chipman","Theresa Schmitt",0,9479,3931,0.293139448173005,0.706860551826995,0,"Republican","female","male","male",2018
"2741",2741,"Missouri","District 121","State Representative","No candidate","Don Mayhew","Matt Heltz",0,7996,3544,0.307105719237435,0.692894280762565,0,"Republican","male","male","male",2018
"2742",2742,"Missouri","District 122","State Representative","No candidate","Steve Lynch","No candidate",0,5661,0,0,1,0,"Republican","N/A","male","male",2018
"2743",2743,"Missouri","District 123","State Representative","No candidate","Suzie Pollock","Joe Register",0,11606,3309,0.22185719074757,0.77814280925243,0,"Republican","male","female","female",2018
"2744",2744,"Missouri","District 124","State Representative","No candidate","Rocky Miller","Steve Dakopolos",0,13009,3514,0.212673243357744,0.787326756642256,0,"Republican","male","male","male",2018
"2745",2745,"Missouri","District 125","State Representative","No candidate","Warren D. Love","Chase Crawford",0,9738,5443,0.358540280613925,0.641459719386075,0,"Republican","male","male","male",2018
"2746",2746,"Missouri","District 126","State Representative","Stephen Biles","Patricia Pike","Jim Hogan",406,9905,2919,0.220634920634921,0.748677248677249,0.0306878306878307,"Republican","male","female","female",2018
"2747",2747,"Missouri","District 127","State Representative","No candidate","Ann Kelley","Teri Hanna",0,12276,2534,0.171100607697502,0.828899392302498,0,"Republican","female","female","female",2018
"2748",2748,"Missouri","District 128","State Representative","No candidate","Mike Stephens","Rich Horton",0,11153,2904,0.20658746531977,0.793412534680231,0,"Republican","male","male","male",2018
"2749",2749,"Missouri","District 129","State Representative","No candidate","Jeff Knight","Ronna Ford",0,10502,3505,0.250232026843721,0.749767973156279,0,"Republican","female","male","male",2018
"2750",2750,"Missouri","District 13","State Representative","No candidate","Vic Allred","Mitch Weber",0,10575,8864,0.455990534492515,0.544009465507485,0,"Republican","male","male","male",2018
"2751",2751,"Missouri","District 130","State Representative","No candidate","Jeff Messenger","Tyler Gunlock",0,11325,4565,0.287287602265576,0.712712397734424,0,"Republican","male","male","male",2018
"2752",2752,"Missouri","District 131","State Representative","No candidate","Sonya Murray Anderson","Nate Branscom",0,9053,4387,0.32641369047619,0.673586309523809,0,"Republican","male","female","female",2018
"2753",2753,"Missouri","District 132","State Representative","No candidate","Sarah Semple","Crystal Quade",0,2982,5383,0.643514644351464,0.356485355648536,0,"Democrat","female","female","female",2018
"2754",2754,"Missouri","District 133","State Representative","No candidate","Curtis D. Trent","Cindy Slimp",0,10530,5831,0.356396308294114,0.643603691705886,0,"Republican","female","male","male",2018
"2755",2755,"Missouri","District 134","State Representative","No candidate","Elijah Haahr","Derrick Nowlin",0,8703,6575,0.430357376619976,0.569642623380024,0,"Republican","male","male","male",2018
"2756",2756,"Missouri","District 135","State Representative","No candidate","Steve Helms","Rob Bailey",0,7821,6985,0.471768202080238,0.528231797919762,0,"Republican","male","male","male",2018
